annotation_id,annotator,created_at,environment,id,lead_time,other,price,quality,sentence,service,updated_at
,,,,,,,,,,,
1675,1,2025-06-23T04:09:28.121758Z,,1150,35.323,Negative,,,i have been to this place for random dinner with friends and it was the most stupid decision  ,,2025-06-23T04:11:42.588331Z
,,,,,,,,,,,
1676,1,2025-06-23T04:12:30.894967Z,,1150,16.197,,,,the place is the perfect example of mismanagement ,Negative,2025-06-23T04:12:30.894967Z
,,,,,,,,,,,
1677,1,2025-06-23T04:12:34.992011Z,,1150,3.753,,,Negative,the food was also pathetic ,,2025-06-23T04:12:34.992011Z
,,,,,,,,,,,
1678,1,2025-06-23T04:12:48.575868Z,,1150,13.328,,,Negative,we have ordered sambhar rice after a lot of disappointment thinking that atleast it will come on time and will be good in taste but i guess they were checking our patience and it took almost      mins for us to get that ,Negative,2025-06-23T04:12:48.575868Z
,,,,,,,,,,,
1679,1,2025-06-23T04:12:56.004578Z,,1150,8.482,,Negative,,they were so slow even in providing bill and on top of that they have added service charge without even our notice ,Negative,2025-06-23T04:13:00.055062Z
,,,,,,,,,,,
1680,1,2025-06-23T04:13:11.316510Z,,1150,10.068,,,,i have given two stars only because the manager   owner  not sure  was really very courteous and he has asked not to pay by acknowledging our complaints ,Negative,2025-06-23T04:13:11.316510Z
,,,,,,,,,,,
1681,1,2025-06-23T04:13:40.324205Z,,1151,28.692,,,,went on a sat noon ,,2025-06-23T04:13:40.324205Z
,,,,,,,,,,,
1682,1,2025-06-23T04:14:05.208516Z,,1151,24.57,,,Neutral,food is ok type  not that tasty  mayonese is sweet       wtf  ,,2025-06-23T04:14:05.209514Z
,,,,,,,,,,,
1683,1,2025-06-23T04:14:07.822124Z,,1151,2.295,,,,    ,,2025-06-23T04:14:07.822124Z
,,,,,,,,,,,
1684,1,2025-06-23T04:14:11.185266Z,,1151,3.087,,,Neutral,  mutton is not tasty ,,2025-06-23T04:14:11.185266Z
,,,,,,,,,,,
1685,1,2025-06-23T04:14:18.417842Z,,1151,6.923,,,Neutral,chicken starter was crispy   reason for       ,,2025-06-23T04:14:18.418838Z
,,,,,,,,,,,
1686,1,2025-06-23T04:14:23.194436Z,,1151,4.468,,,Negative,i didn t like the desert also ,,2025-06-23T04:14:23.194436Z
,,,,,,,,,,,
1687,1,2025-06-23T04:14:46.349034Z,,1151,22.826,Negative,,,verdict   not recommend  skip ,,2025-06-23T04:14:46.349034Z
,,,,,,,,,,,
1688,1,2025-06-23T04:14:54.886131Z,,1152,8.21,,,Neutral,really average  had buffet lunch    ,,2025-06-23T04:14:54.886131Z
,,,,,,,,,,,
1689,1,2025-06-23T04:15:05.341684Z,,1152,10.178,,,,served everything on table   ,Neutral,2025-06-23T04:15:05.341684Z
,,,,,,,,,,,
1690,1,2025-06-23T04:16:35.303893Z,Neutral,1152,92.576,,Neutral,Negative,nothing great about it   really average interiors   food was just not bad   but just above bad   passing marks u could say in terms of food   ambience and money   wouldn t recommend it and big no for a  nd time  tried and forgotten  ,,2025-06-23T04:16:44.749320Z
,,,,,,,,,,,
1691,1,2025-06-23T04:16:55.793119Z,,1153,1.076,,,,i went for dinner with my friends ,,2025-06-23T04:16:55.794119Z
,,,,,,,,,,,
1692,1,2025-06-23T04:16:59.655104Z,,1153,3.562,,,Positive,the food is good ,,2025-06-23T04:16:59.655104Z
,,,,,,,,,,,
1693,1,2025-06-23T04:17:04.805514Z,,1153,4.864,,,Neutral,we ordered chicken manchow soup  apolo fish as starters and alfredo pasta as the main course ,,2025-06-23T04:17:04.805514Z
,,,,,,,,,,,
1694,1,2025-06-23T04:17:30.708751Z,,1153,25.639,,,Negative,butt we found a cockroach on the table while we were having our dinner ,,2025-06-23T04:17:30.708751Z
,,,,,,,,,,,
1695,1,2025-06-23T04:17:41.349411Z,,1153,10.301,Negative,,,so    star as it really freaked me out ,,2025-06-23T04:17:41.349411Z
,,,,,,,,,,,
1696,1,2025-06-23T04:17:48.106827Z,,1154,6.432,,,,ordered noodles and received without a fork    how am i supposed to eat  ,Negative,2025-06-23T04:17:48.106827Z
,,,,,,,,,,,
1697,1,2025-06-23T04:18:05.286023Z,,1155,16.836,,,,went with our friends for a casual lunch on friday as usual it was soo rush and waiters and staff over there are in hurry to serve us fast and want to throw us out of the restaurant   yeahh it s fine we can understand but there should be a polite way to convey the same it should not be like ur time is done  leave now  leave now    that is a negative of the management over there ,Negative,2025-06-23T04:18:05.286023Z
,,,,,,,,,,,
1698,1,2025-06-23T04:18:22.755792Z,,1155,17.121,,,Neutral,coming to the food for veg  the starters are only      potato  crispy corn and mushroom and on the grill pineapple and paneer ,,2025-06-23T04:18:22.755792Z
,,,,,,,,,,,
1699,1,2025-06-23T04:18:49.442995Z,,1155,26.347,,,Negative,not a worthy starters for veg for non veg   starters were good  there are all varieties of non vegetarian on grill and served in plates main course   not at all worthy   and not tasty    only one rice item  tasteless and curries and other items were not tasty salads were good chat items not worthy deserts are good    desi sweets and as usual pastries cakes and pudding and lastly the people working over there forces us to give   rating on zomato even before we complete our lunch and leave out ,Negative,2025-06-23T04:18:49.442995Z
,,,,,,,,,,,
1700,1,2025-06-23T04:19:22.543735Z,,1155,32.777,,,,they want us to give the rating infront of them finally ambience     food     service    ,Negative,2025-06-23T04:19:22.543735Z
,,,,,,,,,,,
1701,1,2025-06-23T04:20:23.661059Z,,1156,60.822,,,Negative,hi this time  we are not satisfied in flechazo  ,,2025-06-23T04:20:23.661059Z
,,,,,,,,,,,
1702,1,2025-06-23T04:20:49.713922Z,,1156,25.696,,,Negative,starters are not much hot   most of them are room temparature or little warm   we have asked for fish starter   we got only two pieces   bbq wings are not good   tooo hard    mango chilli prawns not much tasty    only maida coating smell   no flavour nothing    we are not happy with flechazo  gachibowli   ,,2025-06-23T04:20:49.713922Z
,,,,,,,,,,,
1703,1,2025-06-23T04:20:55.189713Z,,1157,5.141,,,,please look at the below image ,,2025-06-23T04:20:55.189713Z
,,,,,,,,,,,
1704,1,2025-06-23T04:21:00.341836Z,,1157,4.899,,,,this is how i got my order when i order from zomato ,,2025-06-23T04:21:00.341836Z
,,,,,,,,,,,
1705,1,2025-06-23T04:21:21.948939Z,,1157,21.318,,,Negative,i had a confusion to eat it or gulp it ,,2025-06-23T04:21:21.948939Z
,,,,,,,,,,,
1706,1,2025-06-23T04:21:27.577895Z,,1157,12.438,,,Neutral,however i gave     for the browny,,2025-06-23T04:21:39.290404Z
,,,,,,,,,,,
1707,1,2025-06-23T04:21:45.400204Z,,1158,5.04,,,Negative,very spicy and vada is uncooked   disappointing,,2025-06-23T04:21:45.400204Z
,,,,,,,,,,,
1708,1,2025-06-23T04:21:50.579644Z,,1159,4.87,,,Negative,the taste and quality of the food here is on a slippery slope ,,2025-06-23T04:21:50.579644Z
,,,,,,,,,,,
1709,1,2025-06-23T04:21:56.428770Z,,1159,5.503,,,Positive,i used to love the boston creme donut ,,2025-06-23T04:21:56.428770Z
,,,,,,,,,,,
1710,1,2025-06-23T04:22:01.762264Z,,1159,5.031,,,Negative,what once used to have a juicy  creamy filling is now a miser s dab ,,2025-06-23T04:22:01.762264Z
,,,,,,,,,,,
1711,1,2025-06-23T04:22:06.445882Z,,1159,4.365,,,Negative,burgers have also lost their taste and are mostly insincere ,,2025-06-23T04:22:06.445882Z
,,,,,,,,,,,
1712,1,2025-06-23T04:22:16.620703Z,Negative,1160,9.846,,,,firstly the seeating space is less and the music for garden seating is really bad ,,2025-06-23T04:22:16.620703Z
,,,,,,,,,,,
1713,1,2025-06-23T04:22:29.042905Z,,1160,12.108,,,Positive,some of the items in food menu were good but my mood was dampened by the extremely bad service ,Negative,2025-06-23T04:22:29.042905Z
,,,,,,,,,,,
1714,1,2025-06-23T04:22:34.520191Z,Negative,1160,5.217,,,,this not a place to spend more time or chill ,,2025-06-23T04:22:34.520191Z
,,,,,,,,,,,
1715,1,2025-06-23T04:22:42.468727Z,,1161,7.616,Positive,,,i have been here many times ,,2025-06-23T04:22:42.468727Z
,,,,,,,,,,,
