"annotation_id","annotator","created_at","environment","id","lead_time","other","price","quality","sentence","service","updated_at"
1,"1","2025-06-23T04:54:39.441370Z","",2299,19.075,"Neutral","","","ok","","2025-06-23T04:54:39.441370Z"
2,"1","2025-06-23T04:55:00.991143Z","",2300,18.162,"","","Positive","delicious shawarmas i tasted over here ","","2025-06-23T04:55:00.991143Z"
3,"1","2025-06-23T04:56:48.709692Z","",2300,22.275,"Positive","","","so try here once in life time  ","","2025-06-23T04:56:48.709692Z"
4,"1","2025-06-23T04:56:58.722952Z","",2300,10.57,"","","Positive","especially i like samoli and khaliooz ","","2025-06-23T04:56:58.722952Z"
5,"1","2025-06-23T04:57:03.520858Z","",2300,10.055,"","","Negative","rumali is not so good ","","2025-06-23T04:57:03.520858Z"
6,"1","2025-06-23T04:57:08.935303Z","",2300,7.33,"Positive","","","nice nice","","2025-06-23T04:57:08.935303Z"
7,"1","2025-06-23T04:57:50.693264Z","",2301,39.709,"","","","today i was very hungry as i had to skip my breakfast due to the workload ","","2025-06-23T04:57:50.693264Z"
8,"1","2025-06-23T04:58:20.837016Z","",2301,24.983,"","Negative","","moreover  i didn t want to spend more than a hundred bucks on the brunch ","","2025-06-23T04:58:20.837016Z"
9,"1","2025-06-23T04:58:28.033985Z","",2301,5.667,"Positive","","","this was the only restaurant on my mind ","","2025-06-23T04:58:28.033985Z"
10,"1","2025-06-23T04:58:42.742177Z","",2301,13.18,"Neutral","","","you can order a paratha soaked in butter with raita  chutney and onions ","","2025-06-23T04:58:42.742177Z"
11,"1","2025-06-23T05:25:50.024982Z","",2301,43.247,"","Positive","Positive","it is heavenly  all for less than     ","","2025-06-23T05:25:50.024982Z"
12,"1","2025-06-23T05:25:59.659589Z","",2302,15.112000000000002,"","","Positive","they have one of the most tastiest egg fried rice i ve ever tried  ","","2025-06-23T05:25:59.659589Z"
13,"1","2025-06-23T05:26:51.707722Z","",2302,22.509,"","Positive","Positive","it s like addictive this was my recent favourite  price wise affordable also quite worth the money they give both veg and non veg sides along with egg rice  ultimately all sides tastes similar ive tried almost all the food combos here everything was good   go for it ","","2025-06-23T05:26:51.707722Z"
14,"1","2025-06-23T05:26:56.673847Z","",2303,0.6,"","","","i had been to this place after long time last night for dinner ","","2025-06-23T05:26:56.673847Z"
15,"1","2025-06-23T05:26:59.927738Z","Positive",2303,9.11,"","","","i must say the ambience is still so marvelous ","","2025-06-23T05:26:59.927738Z"
16,"1","2025-06-23T05:27:06.751598Z","Positive",2303,8.027,"","","","each wall has something interesting by itself ","","2025-06-23T05:27:06.751598Z"
17,"1","2025-06-23T05:27:09.840501Z","Positive",2303,4.518000000000001,"","","","a great place for photography ","","2025-06-23T05:27:09.840501Z"
18,"1","2025-06-23T05:27:12.207338Z","",2303,3.813,"","Positive","","coming to the food ","","2025-06-23T05:27:12.207338Z"
19,"1","2025-06-23T05:27:13.916757Z","",2303,0.398,"","","","we ordered    ","","2025-06-23T05:27:13.916757Z"
20,"1","2025-06-23T05:27:16.824040Z","",2303,0.21,"","","","bull frog   ","","2025-06-23T05:27:16.824040Z"
21,"1","2025-06-23T05:27:18.992881Z","",2303,0.5,"","","","fanta    pepper chicken bao   ","","2025-06-23T05:27:18.992881Z"
22,"1","2025-06-23T05:27:21.673955Z","",2303,0.257,"","","","ginger chicken bao   ","","2025-06-23T05:27:21.673955Z"
23,"1","2025-06-23T05:27:23.656786Z","",2303,0.384,"","","","fish and chips   ","","2025-06-23T05:27:23.656786Z"
24,"1","2025-06-23T05:27:25.540427Z","",2303,7.2459999999999996,"","","Positive","cajun chicken breast sizzler  the bao s are a must try ","","2025-06-23T05:27:25.540427Z"
25,"1","2025-06-23T05:27:27.540289Z","",2303,6.1000000000000005,"","","Positive","both of them were yummy ","","2025-06-23T05:27:27.540289Z"
26,"1","2025-06-23T05:27:30.374399Z","",2303,10.100999999999999,"","","Negative","fish and chips were in the same category as well but this time the fish wasn t that great ","","2025-06-23T05:27:30.374399Z"
27,"1","2025-06-23T05:27:32.259546Z","",2303,11.26,"","","Negative","coming to the sizzler   i felt chicken was a little hard and the veges needed a pinch of salt ","","2025-06-23T05:27:32.259546Z"
28,"1","2025-06-23T05:27:34.756969Z","",2303,13.188,"","","Negative","a little bland for my taste ","","2025-06-23T05:27:34.756969Z"
29,"1","2025-06-23T05:27:39.175730Z","",2303,12.827,"Positive","","","other than that everything was good ","","2025-06-23T05:27:39.175730Z"
30,"1","2025-06-23T05:27:41.606577Z","",2304,3.2849999999999997,"Positive","","","nice","","2025-06-23T05:27:41.606577Z"
31,"1","2025-06-23T05:27:46.590419Z","",2305,16.225,"","","Positive","as of now  i have tried   rice bowls and   shawarma from here      non veg green slimy monster bowl    veg the iron monster bowl    desi original chicken shawarma  all   of them i liked a lot  especially    and    ","","2025-06-23T05:27:46.590419Z"
32,"1","2025-06-23T05:27:50.123034Z","",2305,15.673,"","","Positive","me being a healthy food eating person  instructions of using less oil and less chilli were correctly taken into account by the restaurant and the taste also was great ","","2025-06-23T05:27:50.123034Z"
33,"1","2025-06-23T05:27:52.668508Z","",2305,19.743000000000002,"","","Positive","quality and quantity were both quite satisfying ","","2025-06-23T05:27:52.668508Z"
34,"1","2025-06-23T05:28:04.099571Z","",2305,19.332,"Neutral","","","great job       one suggestion from my side will be to add calories  ingredients and nutritients information  for ex  protein  fat  carbs content  micro nutrients information  for each dish being offered ","","2025-06-23T05:28:04.099571Z"
35,"1","2025-06-23T05:28:08.839722Z","",2305,7.776000000000001,"","","Positive","this will be very helpful for everyone especially for people like me who want to eat clean and healthy ","","2025-06-23T05:28:08.839722Z"
36,"1","2025-06-23T05:28:11.812983Z","",2306,19.599,"","","Positive","veg review     i have visited its other branch in banjara hills many times and have always liked their food    ","","2025-06-23T05:28:11.812983Z"
37,"1","2025-06-23T05:28:14.656546Z","",2306,15.028,"Positive","","","so wanted to give this branch a try ","","2025-06-23T05:28:14.656546Z"
38,"1","2025-06-23T05:28:16.343623Z","",2306,9.776000000000002,"","","Positive","food here is great too    dishes ordered  pepper fried paneer   i personally don t like starters if they are very crisp so couldn t enjoy it much      pan fried noodles   amazing    loved it  ","","2025-06-23T05:28:16.343623Z"
39,"1","2025-06-23T05:28:18.589320Z","",2306,8.631,"","","Neutral","mushroom pepper chilly   good but felt it didnt go very well with noodles brownie   very soft and juicy","","2025-06-23T05:28:18.589320Z"
40,"1","2025-06-23T05:28:21.372643Z","Positive",2307,9.815999999999999,"","","Positive","it s a good place with awesome ambience and a wide variety of dishes to choose from ","","2025-06-23T05:28:21.372643Z"
41,"1","2025-06-23T05:28:23.190174Z","",2307,0.228,"","","","we booked a terrace lounge for our team out and have spent good time ","","2025-06-23T05:28:23.190174Z"
42,"1","2025-06-23T05:28:25.105115Z","",2307,0.443,"","","","the staff are courteous and the service is faster than expected ","","2025-06-23T05:28:25.105115Z"
43,"1","2025-06-23T05:28:30.488904Z","",2307,3.9979999999999998,"Positive","","","would love to go again here ","","2025-06-23T05:28:30.488904Z"
44,"1","2025-06-23T05:28:33.222549Z","Positive",2307,6.534,"","","","pros  ambience  food  alcohol  service ","","2025-06-23T05:28:33.222549Z"
45,"1","2025-06-23T05:28:35.389883Z","",2308,2.107,"Positive","","","i liked the place ","","2025-06-23T05:28:35.389883Z"
46,"1","2025-06-23T05:28:37.704848Z","",2308,0.424,"","","","quite opp to dlf building gachibowli ","","2025-06-23T05:28:37.704848Z"
47,"1","2025-06-23T05:28:40.155822Z","",2308,22.490000000000002,"Positive","","","easy access to the restaurant from dlf ","","2025-06-23T05:28:40.155822Z"
48,"1","2025-06-23T05:28:42.889755Z","",2308,0.295,"","","","we had mutton juicy mandi ","","2025-06-23T05:28:42.889755Z"
49,"1","2025-06-23T05:28:45.173675Z","",2308,3.806,"Positive","","","liked it ","","2025-06-23T05:28:45.173675Z"
50,"1","2025-06-23T05:28:48.083215Z","",2308,6.414,"Positive","","","would come back to try couple more dishes ","","2025-06-23T05:28:48.083215Z"
51,"1","2025-06-23T05:28:50.530911Z","",2309,25.829,"Positive","","Positive","this is a good place to have some quick food etc and you can find all varieties and prices are also not much ","Positive","2025-06-23T05:28:50.530911Z"
52,"1","2025-06-23T05:28:52.687988Z","",2309,2.587,"Positive","","","overall it s a good place ","","2025-06-23T05:28:52.687988Z"
53,"1","2025-06-23T05:29:02.574533Z","Positive",2309,24.971,"","","","ambience could be better but given the nature of business it looks good ","","2025-06-23T05:29:02.574533Z"
54,"1","2025-06-23T05:29:06.250885Z","",2310,0.37,"","","","greetings ","","2025-06-23T05:29:06.250885Z"
55,"1","2025-06-23T05:29:09.039085Z","Positive",2310,7.243,"","","","the place is very ambient ","","2025-06-23T05:29:09.039085Z"
56,"1","2025-06-23T05:29:11.538244Z","Positive",2310,6.101,"","","","roof top gives you a very good view ","","2025-06-23T05:29:11.538244Z"
57,"1","2025-06-23T05:29:13.971436Z","Positive",2310,12.679,"","","","baskets are hung here as well to add to the ceiling beauty ","","2025-06-23T05:29:13.971436Z"
58,"1","2025-06-23T05:29:15.705126Z","",2310,9.177,"","Positive","","pocket friendly prices ","","2025-06-23T05:29:15.705126Z"
59,"1","2025-06-23T05:29:17.601685Z","",2310,4.01,"","","","staff is helpful and courteous ","Positive","2025-06-23T05:29:17.601685Z"
60,"1","2025-06-23T05:29:19.421635Z","Positive",2310,14.93,"","","","they play good bollywood music preferably punjabi       pm onwards with a  dholwala  playing dhol to dance on the beats ","","2025-06-23T05:29:19.421635Z"
61,"1","2025-06-23T05:29:22.305417Z","",2310,21.587,"Neutral","","","do carry your id cards with a visible photo  mindfully ","","2025-06-23T05:29:22.305417Z"
62,"1","2025-06-23T05:29:24.721933Z","",2311,35.929,"","","Positive","american wild wings   amazing wings i happened to visit this place yesterday for dinner ","","2025-06-23T05:29:24.721933Z"
63,"1","2025-06-23T05:29:26.480478Z","",2311,0.23,"","","","well who doesn t like chicken wings ","","2025-06-23T05:29:26.480478Z"
64,"1","2025-06-23T05:29:31.506175Z","",2311,0.433,"","","","i love wings so wanted to check out this place ","","2025-06-23T05:29:31.506175Z"
65,"1","2025-06-23T05:29:33.421772Z","Positive",2311,10.456000000000001,"","","","it s a small cozy place  giving cafe feels ","","2025-06-23T05:29:33.421772Z"
