id,sentence,price,quality,environment,service,other
1,i ordered egg soft noodles from here they did not even included spoon or sport for they item how i have to eat noodles and also full of oily,,Negative,,Negative,
2,ice cream was good but it is totally got melt as delivery boy took a lot of time to reach,,Positive,,Negative,
2,he mentioned it as delivered as soon as he picked order,,,,Negative,
2,he took nearly forty five minutes to come,,,,Negative,
3,food was not good its from yesterdays food with less quality i asked to customer care some one told they will refund and after ten mind some one told not possible without giving proper food you people are charging and telling we are sorry if you will go for old chat also same issue i am facing maximum times this service is very bad services providing tomato i will put a complain to food inspection team they will definitely take a action tomato is full of fraud service it should stop some times delivery guys are eating customers food sometimes providing two days back food to customers,,Negative,,Negative,
4,food feels like they afternoon prepared and sent on dinner,,Negative,,,
5,bad reception and unprofessional staff do not visit this place they are unfriendly they just loot your money and they prices are also very high,Negative,,,Negative,
6,really very disappointed with quantity of chicken in they bryan,,Negative,,,
7,we ordered egg bryan and we were delivered chicken bryan with chicken replaced with eggs,,,,Negative,
7,he tried his best to pose it as egg and bryan but he forgot to remove bones from they bryan,,,,Negative,
7,would not order egg bryan from here again,,,,Negative,
8,i have ordered twice from tomato,,,,,
8,i do not know why they are so obsessed with oil,,Negative,,,
8,i found half of they container comes filled with oil only,,Negative,,,
8,i bet you cannot chew their chapati if you have teeth strong enough to break stones,,Negative,,,
8,really bad quality food for health,,Negative,,,
8,they will sure just oil this oil i have removed from day more than that came in panzer as well which i have ordered earlier few months back,,Negative,,,
9,very late delivery,,,,Negative,
10,worst taste buffet is not at all good service is too bad price is not worth with they food please do not choice this restaurant one rating is too much for it,Negative,Negative,,Negative,
11,today went to this place,,,,,
11,i will be brutality true,,,,,Negative
11,there is a reason why they are giving huge discounts via different booking table reservation platforms,,,,Negative,
11,service very very slow even on a weekday,,,,Negative,
11,seems kitchen is highly understaffed,,,,Negative,
11,food pathetic,,Negative,,,
11,i am living in hyderabad for last ten years,,,,,
11,i have not had so pathetic kebabs here in hyderabad like what i got at arena eleven,,Negative,,,
11,overall a big no,,,,,Negative
11,please do not waste your money here,,,,,Negative
11,one,,,,,
11,ordered fish lemon pepper kebab,,,,,
11,it was too salty,,Negative,,,
11,two,,,,,
11,ordered chicken nikki kebab,,,,,
11,you cannot even chew they chicken pieces it was so hard tasteless,,Negative,,,
11,three,,,,,
11,ordered a cocktail for my wife it was full of water instead,,Negative,,,
12,they worst experience ever,,,,,Negative
12,ordered chari ghost it came with more salt later asked him he repaired they remaining curry after half an hour,,Negative,,Negative,
12,also they service was too slow and pathetic,,,,Negative,
13,very bad place to hang on they staff is very arrogant and short tempered,,,,Negative,
13,they do not allow entry to stags on they dance floor also and despite of so high prices have not given any discount even not corporate discount too,Negative,,,Negative,
14,bear,,,,,
15,food was terrible,,Negative,,,
16,i ordered three donuts online and all of them were hard and not fresh,,Negative,,,
16,and not edible to eat at all,,Negative,,,
16,i have no option but to throw them in they dust bin,,Negative,,,
16,very very disappointed,,,,,Negative
17,went here for a team lunch party a while back and i swear to god they food was pathetic,,Negative,,,
17,they starters they server were cold and even after calling out they waiter multiple times there was not a positive response,,Negative,,Negative,
17,when we called they manager there was a redo of they starter which was hot now but not tasty,,Negative,,,
17,they ambience is good though,,,Positive,,
17,if only they food and service were upped then they place could deserve better rating,,Negative,,Negative,
17,all we ate that day was curd rice they entire team,,,,,
17,i wish you guys could improve and we would try here again,,,,,
18,i am from mumbai i ordered it from my hotel in hitch city from twiggy,,,,,
18,i ordered chicken pot rice pot rice is usually wet a not dry this one was actually dry and it was not made with they wet gravy how pot rice is actually made and they made chinese like bryan seriously,,Negative,,,
18,gram marsala in they pot rice was a big turn off,,,,,
18,it was actually hyderabad pot rice low,,,,Negative,
19,i have had high regards for khan saab over years ever since they have started in gone,,,,,
19,today i was disappointed with their service and how they have handled an issue reg soup reported,,,,Negative,
19,even they manager at each bowl proved useless i never thought i will write such a review for khan saab,,,,Negative,
20,pathetic and rude staff,,,,Negative,
20,slowest service,,,,Negative,
20,they had tables free at terrace and at lower floor but still they say that its full,,,,Negative,
20,so that there upper floor gets full first which is not good,,,,Negative,
20,will never visit again,,,,,Negative
21,worst service,,,,Negative,
21,strictly nor recommended for family and decent people,,,,,Negative
21,taste is below average,,Negative,,,
21,big no for this place stay away,,,,,Negative
21,worst service ever,,,,Negative,
22,what a hopeless restaurant,,,,,Negative
22,never experienced such horrific and unprofessional restaurant,,,,Negative,
22,if you order a dish be assured you will get cheaper stale and some other item,,,,Negative,
22,i have ordered chicken manchurian and egg noodle box i received old stake gobi manchurian with just minimum two three spoon of pathetic noodle,,Negative,,Negative,
22,please do not dare do visit there,,,,,Negative
23,very spicy food,,Neutral,,,
23,even they soup was ultra spicy,,Neutral,,,
23,starters were average,,Neutral,,,
23,main course could have more variety and some taste,,Negative,,,
23,even they desserts were not good,,Negative,,,
24,worst food ever,,Negative,,,
24,very bad taste i will give negative rating no dishes were properly made very bad experience,,Negative,,,
24,just name is big but no quality and taste maintained,,Negative,,,
25,very very bad soon waste taste less do not take order online very very bad soon waste taste less do not take order online,,Negative,,,
25,very very bad soon waste taste less do not take order online,,Negative,,,
26,horrible place nothing for vegetarians service is awful panzer was not properly cooked corn cubes were hopeless we had to wait for an hour to get vegetarian starters they main course for vegetarian dishes was empty,,Negative,,Negative,
27,if you are looking for north indian food in hyderabad then do not visit this place,,,,,Negative
