id,restaurant_id,restaurant_name,sentence,id_sentence
1,1,Anar Indian Restaurant,everything was amazing,1
1,1,Anar Indian Restaurant,food and variety with custom ability ambiance with music they service and even they comfort room was excellent,2
1,1,Anar Indian Restaurant,we got they beef bryan and lamb marsala with plain naan,3
1,1,Anar Indian Restaurant,serving was generous enough for three,4
1,1,Anar Indian Restaurant,no gamey or domesticated taste,5
1,1,Anar Indian Restaurant,was also easy to chew eat,6
1,1,Anar Indian Restaurant,really delicious and filling rich taste,7
1,1,Anar Indian Restaurant,also had mango lass,8
1,1,Anar Indian Restaurant,it was really heavy and delicious,9
1,1,Anar Indian Restaurant,service was good and fast,10
1,1,Anar Indian Restaurant,comfort room was clean and complete with supplies no bidet,11
1,1,Anar Indian Restaurant,i would recommend this place to everyone,12
2,1,Anar Indian Restaurant,fantastic local restaurant with a great dinner for two deal that will definitely leave food for lunch they next day,13
2,1,Anar Indian Restaurant,food was cook to perfection and they curry and spices were spot on,14
3,1,Anar Indian Restaurant,we had come on a visit to la,15
3,1,Anar Indian Restaurant,we had ordered takeouts of veg bryan and samosa on they first day of our visit,16
3,1,Anar Indian Restaurant,they were delicious,17
3,1,Anar Indian Restaurant,they told us that they even deliver,18
3,1,Anar Indian Restaurant,so next time we ordered butter naan and deal taka over they phone and they delivered within thirty forty minutes to they hotel we stayed in,19
3,1,Anar Indian Restaurant,it was so tasty,20
3,1,Anar Indian Restaurant,this restaurant is way too underrated,21
3,1,Anar Indian Restaurant,i do not understand why anal indian restaurant never showed up when we were searching for indian restaurants on they internet nearby they hotel we stayed,22
3,1,Anar Indian Restaurant,we are so glad we found it by accident while we walked across to get some stuff from tvs,23
3,1,Anar Indian Restaurant,highly recommend this place,24
4,1,Anar Indian Restaurant,this is my favourite indian spot in la and they quality of they food keeps me coming back,25
4,1,Anar Indian Restaurant,every dish i be tried has been deeply flavorful balanced and clearly made with fresh ingredients,26
4,1,Anar Indian Restaurant,they lunch specials are a perfect way to sample a variety served with aromatic white rice and soft warm naan,27
4,1,Anar Indian Restaurant,they marsala is rich with layered spice they sag is consistently earthy and comforting and they korma has a silky complex flavor that stands out,28
4,1,Anar Indian Restaurant,they maratha is flaky and satisfying and they naan is always pillow and charred just right,29
4,1,Anar Indian Restaurant,i a working my way through they menu and have not hit a single miss,30
5,1,Anar Indian Restaurant,service was amazing,31
5,1,Anar Indian Restaurant,tried their one person dinner it was amazing,32
5,1,Anar Indian Restaurant,day soup could have been better chicken tandoori was yum naan and chicken linda loo was yum samosa was good too,33
5,1,Anar Indian Restaurant,quantity was perfect,34
5,1,Anar Indian Restaurant,would return back to try other items on their menu,35
6,1,Anar Indian Restaurant,i would always get this for delivery and it has been consistently fresh and delicious,36
6,1,Anar Indian Restaurant,recommend sag panzer i think they best i have had in la,37
6,1,Anar Indian Restaurant,i have had both chicken and veggie marsala and both were great,38
6,1,Anar Indian Restaurant,one time when we ordered online we forgot to add rice and they threw one in complimentary which was so kind of them,39
6,1,Anar Indian Restaurant,they side sauces are great too,40
6,1,Anar Indian Restaurant,i have yet to visit in person but was just looking them up just now deciding where to go for my birthday dinner,41
6,1,Anar Indian Restaurant,i can imagine it will be wonderful fresh out of they kitchen,42
7,1,Anar Indian Restaurant,ordered food for delivery and never received my food it was supposed to take forty five mind and i waiting two hours,43
7,1,Anar Indian Restaurant,i tried to call they restaurant six times over a span of forty five minutes and it would just ring then go to a beep and then hangup,44
7,1,Anar Indian Restaurant,how do you resolve something if you cannot speak to anyone,45
8,1,Anar Indian Restaurant,i decided to try a new restaurant and so ordered buttered chicken sag panzer veggie samosas not pictured and white rice from here,46
8,1,Anar Indian Restaurant,i had prepared a cup of milk anticipating that they food would be spicy,47
8,1,Anar Indian Restaurant,surprisingly nothing was spicy except for they provided sauces,48
8,1,Anar Indian Restaurant,they food was delicious and i unfortunately could not finish everything at once even though i really wanted to,49
8,1,Anar Indian Restaurant,i highly recommend this place,50
9,1,Anar Indian Restaurant,they food here is absolutely amazing,52
9,1,Anar Indian Restaurant,being raised in london with indian heritage i know good indian cuisine when i taste it and this place is a true hidden gem,53
9,1,Anar Indian Restaurant,after living in california for over seven years and trying indian food in many spots this is hands down my favourite,54
9,1,Anar Indian Restaurant,they flavors are rich authentic and consistently delicious,55
9,1,Anar Indian Restaurant,thank you anal restaurant for making such incredible indian food with such apparent ease it is no small feat,56
9,1,Anar Indian Restaurant,god bless you for sharing your gift with us,57
10,1,Anar Indian Restaurant,tandoori chicken and chicken wings were good,58
10,1,Anar Indian Restaurant,we also ordered spinach lentil curry which was also good,59
11,1,Anar Indian Restaurant,ordered here after a long time got they buy one get one deal day taka garlic basil naan and they were absolutely delicious,60
11,1,Anar Indian Restaurant,if you like vegetarian options then you got to try their day taka order it hot if you are into spicy dishes,61
12,1,Anar Indian Restaurant,it was a great chill spot were items were made fresh,62
12,1,Anar Indian Restaurant,now they is a five star low cost meal,63
12,1,Anar Indian Restaurant,they shrimp came out sizzling and they naan was fresh and hot,64
12,1,Anar Indian Restaurant,everyone was so gracious and kind,65
12,1,Anar Indian Restaurant,loved they saab panzer with a good spice,66
12,1,Anar Indian Restaurant,they marsala was on they sweeter side,67
13,1,Anar Indian Restaurant,a rating posted on window from they inspection extremely discouraging saw it in they middle of they meal chicken was not fresh in they chicken marsala dish has to change a table because they first one smelled funny i came here long time ago and had a memory of it being a tasty hole in they wall place,68
13,1,Anar Indian Restaurant,my recent visit turned out to be nothing like they memory,69
13,1,Anar Indian Restaurant,would not come again,70
14,1,Anar Indian Restaurant,hands down they best nikki marsala i be ever had,71
14,1,Anar Indian Restaurant,i drive out of my way to get it here,72
14,1,Anar Indian Restaurant,this place deserves much higher reviews than it gets,73
14,1,Anar Indian Restaurant,they butter naan is incredible too,74
14,1,Anar Indian Restaurant,they owner and employees are very kind,75
15,1,Anar Indian Restaurant,i never ate such a bad dish,76
15,1,Anar Indian Restaurant,i ordered two butter chicken combos and it tastes like somebody put one kilogram of sugar in it,77
15,1,Anar Indian Restaurant,in not a picky eater but i could finish this dish,78
15,1,Anar Indian Restaurant,disgusting,79
15,1,Anar Indian Restaurant,they cheese naan was also they worst i had ever tasted,80
15,1,Anar Indian Restaurant,never again,81
16,1,Anar Indian Restaurant,i a surprised that this place does not have more stars because they never disappoint,82
16,1,Anar Indian Restaurant,we lived in they area for seven years and frequented this place often,83
16,1,Anar Indian Restaurant,we always felt like they food was great service was good and price point very reasonable compared to other restaurants whose fare was not as delicious and also came at a higher cost,84
16,1,Anar Indian Restaurant,i hope they stay that way,85
16,1,Anar Indian Restaurant,anal also values people in they neighbourhood and always treated us well,86
16,1,Anar Indian Restaurant,we ate there they night we first moved into hollywood and then also they week we moved out and countless times in between,87
16,1,Anar Indian Restaurant,highly recommend they vegetarian dinner for two great deal and so yummy,88
16,1,Anar Indian Restaurant,anal will always remain one of our la faves no matter where we move,89
17,1,Anar Indian Restaurant,this has been a go to place of ours for years and we just ordered delivery tonight,90
17,1,Anar Indian Restaurant,i wanted to give a review because we were talking about how consistent and quality anal is,91
17,1,Anar Indian Restaurant,we have gotten delivery multiple times over they past few years,92
17,1,Anar Indian Restaurant,they have never messed up our order but that one time i forgot to add rice to my order they included a complimentary rice,93
17,1,Anar Indian Restaurant,they food is always delivered hot they flavor is consistent and they ingredients are always good quality,94
17,1,Anar Indian Restaurant,they spicy levels are accurate hot has a nice kick medium still has a mellow kick with great flavor,95
17,1,Anar Indian Restaurant,never tried mild we have only visited they restaurant once a couple years back,96
17,1,Anar Indian Restaurant,i remember it was clean and comfortable,97
17,1,Anar Indian Restaurant,of course we will be ordering again,98
18,1,Anar Indian Restaurant,i thought they food was awesome,100
18,1,Anar Indian Restaurant,we went on a monday around lunch time and it was not busy at all,101
18,1,Anar Indian Restaurant,we got our food quickly,102
18,1,Anar Indian Restaurant,they make it easy for vegetarians vegans and label what id vegan or vegetarian,103
18,1,Anar Indian Restaurant,i got they okra dish,104
18,1,Anar Indian Restaurant,so amazing never had okra before and they dish was perfectly spiced,105
18,1,Anar Indian Restaurant,like most indian restaurants they food is served family style in a large dish and you serve it onto you plate,106
18,1,Anar Indian Restaurant,i just wish i had a great indian restaurant like this is san diego,107
19,1,Anar Indian Restaurant,we just planned to go to this restaurant and never had an expectation to get great food,108
19,1,Anar Indian Restaurant,they moment we entered and got greetings was so great we ordered they food again they expectation was nothing but once we started having food amazing super and great are they right words to explain they food we ate like anything and said thanks to they owner manager for keeping they super taste without burning they belly,109
19,1,Anar Indian Restaurant,keep it up,110
19,1,Anar Indian Restaurant,if you are reading this comment you must try they food here once for sure,111
19,1,Anar Indian Restaurant,you will love it,112
20,1,Anar Indian Restaurant,costumer service was excellent,113
20,1,Anar Indian Restaurant,waiter was very nice and attentive,114
20,1,Anar Indian Restaurant,food was very good,115
20,1,Anar Indian Restaurant,i ordered butter chicken and tandoori chicken,116
20,1,Anar Indian Restaurant,i really enjoyed they butter chicken but they tandoori chicken was missing color,117
