,sentence,price,quality,environment,service,other
0,i ordered egg soft noodles from here  they didn t even included spoon or spork for the item    how i have to eat noodles and also full of oily,0,1,0,1,0
1,ice cream was good   but it s totally got melt as delivery boy took a lot of time to reach ,0,1,0,1,0
2,he mentioned it as delivered as soon as he picked order ,0,0,0,1,0
3,he took nearly 45 minutes to come ,0,0,0,1,0
4,food was not good its from yesterday s food with less quanity i asked to customer care some one told they will refund and after 10 mins some one told not possible without giving proper food you people are charging and telling we are sorry if you will go for old chat also same issue i am facing maximum times this service is very bad services provding zomato i will put a complain to food inspection team they will definitly take a action zomato is full of fraud service it shuold stop some times delivery guys are eating customers food  sometimes providing 2 days back food to customers ,0,1,0,1,0
5,food feels like the afternoon prepared and sent on dinner ,0,1,0,0,0
6,bad reception and unprofessional staff do not visit this place they are unfriendly they just loot your money and the prices are also very high,1,0,0,1,0
7,really very disappointed with quantity of chicken in the biryani,0,1,0,0,0
8,we ordered egg biryani and we were delivered chicken biryani with chicken replaced with eggs ,0,0,0,1,0
9,he tried his best to pose it as egg and biryani but he forgot to remove bones from the biryani ,0,0,0,1,0
10,wouldn t order egg biryani from here again ,0,0,0,1,0
11,i have ordered twice from zomato ,0,0,0,0,0
12,i don t know why they are so obsessed with oil ,0,1,0,0,0
13,i found half of the container comes filled with oil only ,0,1,0,0,0
14,i bet you can t chew their chapatis if you have teeth strong enough to break stones ,0,1,0,0,0
15,really bad quality food for health   ,0,1,0,0,0
16,they will surve just oil   this oil i have removed from dal   more than that came in paneer as well which i have ordered earlier few months back ,0,1,0,0,0
17,very late delivery,0,0,0,1,0
18,worst taste   buffet is not at all good   service is too bad  price is not worth with the food   please don t choice this restaurant   1 rating is too much for it  ,1,1,0,1,0
19,today went to this place ,0,0,0,0,0
20,i will be brutality true  ,0,0,0,0,1
21,there s a reason why they are giving huge discounts via different booking table reservation platforms ,0,0,0,1,0
22,service   very very slow even on a weekday ,0,0,0,1,0
23,seems kitchen is highly understaffed ,0,0,0,1,0
24,food  pathetic ,0,1,0,0,0
25,i am living in hyderabad for last 10 years ,0,0,0,0,0
26,i haven t had so pathetic kababs here in hyderabad  like what i got at arena eleven ,0,1,0,0,0
27,overall a big no ,0,0,0,0,1
28,please don t waste your money here ,0,0,0,0,1
29,1 ,0,0,0,0,0
30,ordered fish lemon pepper kabab  ,0,1,0,0,0
31,it was too salty ,0,0,0,0,0
32,2 ,0,1,0,0,0
33,ordered chicken tikka kabab ,0,1,0,0,0
34,the worst experience ever ,0,0,0,0,1
35,ordered achari ghoshti it came with more salt later asked him he repaired the remaining curry after half an hour ,0,1,0,1,0
36,also the service was too slow and pathetic ,0,0,0,1,0
37,very bad place to hang on  the staff is very arrogant and short tempered ,0,0,0,1,0
38,they don t allow entry to stags on the dance floor also and despite of so high prices haven t given any discount even not corporate discount too ,1,0,0,1,0
39,bekar,0,0,0,0,0
40,food was terrible,0,1,0,0,0
41,i ordered 3 donuts online and all of them were hard and not fresh ,0,1,0,0,0
42,and not edible to eat at all ,0,1,0,0,0
43,i have no option but to throw them in the dust bin ,0,1,0,0,0
44,very very disappointed ,0,0,0,0,1
45,went here for a team lunch party a while back and i swear to god the food was pathetic ,0,1,0,0,0
46,the starters they server were cold and even after calling out the waiter multiple times there wasn t a positive response ,0,1,0,1,0
47,when we called the manager  there was a redo of the starter which was hot now but not tasty ,0,1,0,0,0
48,the ambience is good though ,0,0,1,0,0
49,if only the food and service were upped then the place could deserve better rating ,0,1,0,1,0
50,all we ate that day was curd rice   the entire team ,0,0,0,0,0
51,i wish you guys could improve and we would try here again ,0,0,0,0,0
52,i am from mumbai  i ordered it from my hotel in hitech city  from swiggy ,0,0,0,0,0
53,i ordered chicken pot rice  pot rice is usually wet n not dry  this one was actually dry and it wasn t made with the wet gravy how pot rice is actually made  and they made chinesee like biryani  seriously ,0,1,0,0,0
54,garam masala in the pot rice was a big turn off ,0,0,0,0,0
55,it was actually hydrabadi pot rice lol ,0,0,0,1,0
56,i have had high regards for khansaab over years  eversince they ve started in gvkone ,0,0,0,0,0
57,today i was disappointed with their service and how they ve handled an issue  reg soup  reported ,0,0,0,1,0
58,even the manager at gachibowli proved useless   i never thought i will write such a review for khan saab ,0,0,0,1,0
59,pathetic and rude staff ,0,0,0,1,0
60,slowest service ,0,0,0,1,0
61,they had tables free at terrace and at lower floor but still they say that its full ,0,0,0,1,0
62,so that there upper floor gets full first which is not good ,0,0,0,1,0
63,will never visit again ,0,0,0,0,1
64,worst service ,0,0,0,1,0
65,strictly nor recommended for family and decent people ,0,0,0,0,1
66,taste is below average ,0,1,0,0,0
67,big no for this place   stay away ,0,0,0,0,1
68,worst service ever,0,0,0,1,0
69,what a hopeless restaurant ,0,0,0,0,1
70,never experienced such horrific and unprofessional restaurant ,0,0,0,1,0
71,if you order a dish  be assured you will get cheaper   stale and some other item ,0,0,0,1,0
72,i have ordered chicken manchurian and egg noodle box  i received old stake gobi munchurian with just minimum two three spoon of pathetic noodle ,0,1,0,1,0
73,please dont dare do visit there,0,0,0,0,1
74,very spicy food ,0,1,0,0,0
75,even the soup was ultra spicy ,0,1,0,0,0
76,starters were average ,0,1,0,0,0
77,main course could have more variety and some taste ,0,1,0,0,0
78,even the desserts were not good ,0,1,0,0,0
79,worst food ever     ,0,1,0,0,0
80,very bad taste  i will give negative rating   no dishes were properly made very bad experience ,0,1,0,0,0
81,just name is big but no quality and taste maintained,0,1,0,0,0
82,very very bad sooo waste taste less dont take order online very very bad sooo waste taste less dont take order online ,0,1,0,0,0
83,very very bad sooo waste taste less dont take order online,0,1,0,0,0
84,horrible place nothing for vegetarians service is awful paneer was not properly cooked corn cubes were hopeless we had to wait for an hour to get vegetarian starters the main course for vegetarian dishes was empty,0,1,0,1,0
85,if you are looking for north indian food in hyderabad then do not visit this place ,0,0,0,0,1
86,the waiters will not listen if food is late  manager is totally uncivilized  tries to peek into customers wallet and also talks rudely  ,0,0,0,1,0
87,we ordered    1  daal makhani  not even average   2  paneer  serverd with hair in it   3  biriyani  below average   4  tandoori roti  5  sweet lassi  after finishing the food  they will serve you finger bowl with food particles already present in it    ,0,1,0,0,0
88,food   0 5  staff   0 5  ambience   1 5  hygiene   0 5  i will never recommend this place to anyone ,0,1,1,1,0
89,theglobetrotterlady com,0,0,0,0,0
90,today i have ordered cashew polau from zomato  i have received the parcel box unpacked and seems some part of food item from one side has taken out of box ,0,0,0,1,0
91,i have reported to zomato as well  but from next time onwards i will make sure not to order from this restaurent ,0,0,0,0,1
92,we ordered food for home delivery with one line instruction   garlic bread to be prepared without spices  which was not fulfilled ,0,0,0,1,0
93,this was ok  what wasn t was delivery of chicken ,0,0,0,1,0
94,we ordered vegetarian cheese balls and we received chicken ,0,0,0,1,0
95,can we ever trust you again  frio bistro ,0,0,0,0,0
96,i ve ordered their keema pav on swiggy and i was very dissatisfied with it ,0,1,0,0,0
97,the keema was stale and blubbery ,0,1,0,0,0
98,their is lot of fat and meat was very minimal ,0,1,0,0,0
99,i couldn t finish even half of the portion served ,0,1,0,0,0
100,and it was very clear that the dish mutton is not fresh ,0,1,0,0,0
101,please check with them if you really wanna try this dish ,0,0,0,0,0
102,ps  it had a bad effect on my tummy as well ,0,1,0,0,0
103,too bad but tasty,0,1,0,0,1
104,ordered kadhi pakoda rice combo  nov 2018  ,0,0,0,0,0
105,it was extremely bad ,0,1,0,0,0
106,the rice seemed to be cooked with a lot of baking soda ,0,1,0,0,0
107,kadhi was awful to taste ,0,1,0,0,0
108,avoid this dish ,0,1,0,0,0
109,pathetic ,0,0,0,0,1
110,don t order through them ,0,0,0,0,1
111,neither do they have the decency of answering calls and informing nor do they have people to deliver ,0,0,0,1,0
112,disappointing ,0,0,0,0,1
113,worst experience in parcel of zaffron motton regular biryani no mutton piecec found i  biryani bill is 158   with gst    ,1,1,0,0,0
114,fooling public in parcel   dont take pacel frm pista house    ,0,1,0,0,0
115,very bad experience simply looting public money on parcels of biryani      ,0,1,0,0,0
116,having heard a lot about this place  specially their triveni biryani  i came here once and ordered food 3 4 times   the last time i purchased food here would actually be the last time i would eat from here ,0,0,0,0,1
117,this restaurant is a classic example of how it started on a grand note and ended up being just another restaurant with hygiene issues ,0,0,0,0,1
118,to cut the long chase short  i had purchased 2 items ,0,0,0,0,0
119,1 paneer tikka biryani and bhimwaram pulav  take aways   in spite of telling them  both items were very spicy ,0,1,0,1,0
120,my wife and i were struggling with the food ,0,1,0,0,0
121,now to top it  i found a flying insect  not a cockroach but something else with wings  that got cooked with the paneer tikka biryani ,0,1,0,0,0
122,alas  that was so repulsive that i left the food mid way and satiated my hunger with curd rice  i m never going back to them,0,1,0,0,0
123,didn t find any taste in chicken momos  the veg momos were horrible   stuff inside the momos were not boiled properly   will never order from them again,0,1,0,0,0
124,one of the best worst place   biryani is too worst   but their strtegy is too good   they dont have ac but if we sit and eat the price is double  irresponsible serice   better to go to almas r biryanis   good bye  will never visit again,1,0,1,0,0
125,i got very sick after having this food,0,1,0,0,0
126,i am very very biryani lover and i tried the behrouz biryani and it was worst ,0,1,0,0,0
127,taste is too bad   ,0,1,0,0,0
128,packing is too good but taste is too bad,0,1,0,1,0
129,no taste in food  starters were served cold  probably it was already cooked so waiter suggested us that dish ,0,1,0,0,0
130,it is expensive and not worth at all ,1,0,0,0,0
131,they are trying to be over authentic and spoiling the basic taste of food ,0,1,0,0,0
132,rotis are very hard and ulavacharu biryani is too much masala and no tasty ,0,1,0,0,0
133,not suggested to visit ,0,0,0,0,1
134,after all confirmation and payment  this restaurant has canceled my order while i had no other option to get food ,0,0,0,1,0
135,i m unsatisfied with this restaurant ,0,0,0,0,1
136,biryani tastes stale highly unethical service ,0,1,0,1,0
137,they will charge you 40rs for a 20rs coke 250 ml  ,0,0,0,1,0
138,never ever go or order anything from these cheaters ,0,0,0,1,0
139,and even after calling the restaurant multiple times they won t pick up the call rather they will disconnect it ,0,0,0,1,0
140,horrible  i ordered 1 special and 2 regular shawarma ,0,0,0,0,0
141,we got 3 regular shawarma ,0,0,0,1,0
142,pathetic experience ,0,0,0,0,1
143,i m satisfied with the person who delivered  please let him have the credit for the delivery,0,0,0,1,0
144,went there   around 10 45pm  was really hungry ,0,0,0,0,0
