,id,sentence,price,quality,environment,service,other
0,1,i ordered egg soft noodles from here  they didn t even included spoon or spork for the item    how i have to eat noodles and also full of oily,,Negative,,Negative,
1,2,ice cream was good   but it s totally got melt as delivery boy took a lot of time to reach ,,Positive,,Negative,
2,2,he mentioned it as delivered as soon as he picked order ,,,,Negative,
3,2,he took nearly 45 minutes to come ,,,,Negative,
4,3,food was not good its from yesterday s food with less quanity i asked to customer care some one told they will refund and after 10 mins some one told not possible without giving proper food you people are charging and telling we are sorry if you will go for old chat also same issue i am facing maximum times this service is very bad services provding zomato i will put a complain to food inspection team they will definitly take a action zomato is full of fraud service it shuold stop some times delivery guys are eating customers food  sometimes providing 2 days back food to customers ,,Negative,,Negative,
5,4,food feels like the afternoon prepared and sent on dinner ,,Negative,,,
6,5,bad reception and unprofessional staff do not visit this place they are unfriendly they just loot your money and the prices are also very high,Negative,,,Negative,
7,6,really very disappointed with quantity of chicken in the biryani,,Negative,,,
8,7,we ordered egg biryani and we were delivered chicken biryani with chicken replaced with eggs ,,,,Negative,
9,7,he tried his best to pose it as egg and biryani but he forgot to remove bones from the biryani ,,,,Negative,
10,7,wouldn t order egg biryani from here again ,,,,Negative,
11,8,i have ordered twice from zomato ,,,,,
12,8,i don t know why they are so obsessed with oil ,,Negative,,,
13,8,i found half of the container comes filled with oil only ,,Negative,,,
14,8,i bet you can t chew their chapatis if you have teeth strong enough to break stones ,,Negative,,,
15,8,really bad quality food for health   ,,Negative,,,
16,8,they will surve just oil   this oil i have removed from dal   more than that came in paneer as well which i have ordered earlier few months back ,,Negative,,,
17,9,very late delivery,,,,Negative,
18,10,worst taste   buffet is not at all good   service is too bad  price is not worth with the food   please don t choice this restaurant   1 rating is too much for it  ,Negative,Negative,,Negative,
19,10, ,,,,,
20,10, ,,,,,
21,11,today went to this place ,,,,,
22,11,i will be brutality true  ,,,,,Negative
23,11,there s a reason why they are giving huge discounts via different booking table reservation platforms ,,,,Negative,
24,11,service   very very slow even on a weekday ,,,,Negative,
25,11,seems kitchen is highly understaffed ,,,,Negative,
26,11,food  pathetic ,,Negative,,,
27,11,i am living in hyderabad for last 10 years ,,,,,
28,11,i haven t had so pathetic kababs here in hyderabad  like what i got at arena eleven ,,Negative,,,
29,11,overall a big no ,,,,,Negative
30,11,please don t waste your money here ,,,,,Negative
31,11,1,,,,,
32,11,ordered fish lemon pepper kabab  ,,,,,
33,11,it was too salty ,,Negative,,,
34,11,2,,,,,
35,11,ordered chicken tikka kabab ,,,,,
36,11,you can t even chew the chickn pieces  it was so hard   tasteless ,,Negative,,,
37,11,3,,,,,
38,11,ordered a mocktail for my wife  it was full of water instead ,,Negative,,,
39,11, ,,,,,
40,12,the worst experience ever ,,,,,Negative
41,12,ordered achari ghoshti it came with more salt later asked him he repaired the remaining curry after half an hour ,,Negative,,Negative,
42,12,also the service was too slow and pathetic ,,,,Negative,
43,13,very bad place to hang on  the staff is very arrogant and short tempered ,,,,Negative,
44,13,they don t allow entry to stags on the dance floor also and despite of so high prices haven t given any discount even not corporate discount too ,Negative,,,Negative,
45,14,bekar,,,,,
46,15,food was terrible,,Negative,,,
47,16,i ordered 3 donuts online and all of them were hard and not fresh ,,Negative,,,
48,16,and not edible to eat at all ,,Negative,,,
49,16,i have no option but to throw them in the dust bin ,,Negative,,,
50,16,very very disappointed ,,,,,Negative
51,17,went here for a team lunch party a while back and i swear to god the food was pathetic ,,Negative,,,
52,17,the starters they server were cold and even after calling out the waiter multiple times there wasn t a positive response ,,Negative,,Negative,
53,17,when we called the manager  there was a redo of the starter which was hot now but not tasty ,,Negative,,,
