id,sentence,price,quality,environment,service,other
1150.0,i have been to this place for random dinner with friends and it was the most stupid decision  ,,,,,Negative
1150.0,the place is the perfect example of mismanagement ,,,,Negative,
1150.0,the food was also pathetic ,,Negative,,,
1150.0,we have ordered sambhar rice after a lot of disappointment thinking that atleast it will come on time and will be good in taste but i guess they were checking our patience and it took almost      mins for us to get that ,,Negative,,Negative,
1150.0,they were so slow even in providing bill and on top of that they have added service charge without even our notice ,Negative,,,Negative,
1150.0,i have given two stars only because the manager   owner  not sure  was really very courteous and he has asked not to pay by acknowledging our complaints ,,,,Negative,
1151.0,food is ok type  not that tasty  mayonese is sweet       wtf  ,,Neutral,,,
1151.0,  mutton is not tasty ,,Neutral,,,
1151.0,chicken starter was crispy   reason for       ,,Neutral,,,
1151.0,i didn t like the desert also ,,Negative,,,
1151.0,verdict   not recommend  skip ,,,,,Negative
1152.0,really average  had buffet lunch    ,,Neutral,,,
1152.0,served everything on table   ,,,,Neutral,
1152.0,nothing great about it   really average interiors   food was just not bad   but just above bad   passing marks u could say in terms of food   ambience and money   wouldn t recommend it and big no for a  nd time  tried and forgotten  ,Neutral,Negative,Neutral,,
1153.0,the food is good ,,Positive,,,
1153.0,we ordered chicken manchow soup  apolo fish as starters and alfredo pasta as the main course ,,Neutral,,,
1153.0,butt we found a cockroach on the table while we were having our dinner ,,Negative,,,
1153.0,so    star as it really freaked me out ,,,,,Negative
1154.0,ordered noodles and received without a fork    how am i supposed to eat  ,,,,Negative,
1155.0,went with our friends for a casual lunch on friday as usual it was soo rush and waiters and staff over there are in hurry to serve us fast and want to throw us out of the restaurant   yeahh it s fine we can understand but there should be a polite way to convey the same it should not be like ur time is done  leave now  leave now    that is a negative of the management over there ,,,,Negative,
1155.0,coming to the food for veg  the starters are only      potato  crispy corn and mushroom and on the grill pineapple and paneer ,,Neutral,,,
1155.0,not a worthy starters for veg for non veg   starters were good  there are all varieties of non vegetarian on grill and served in plates main course   not at all worthy   and not tasty    only one rice item  tasteless and curries and other items were not tasty salads were good chat items not worthy deserts are good    desi sweets and as usual pastries cakes and pudding and lastly the people working over there forces us to give   rating on zomato even before we complete our lunch and leave out ,,Negative,,Negative,
1155.0,they want us to give the rating infront of them finally ambience     food     service    ,,,,Negative,
1156.0,hi this time  we are not satisfied in flechazo  ,,Negative,,,
1156.0,starters are not much hot   most of them are room temparature or little warm   we have asked for fish starter   we got only two pieces   bbq wings are not good   tooo hard    mango chilli prawns not much tasty    only maida coating smell   no flavour nothing    we are not happy with flechazo  gachibowli   ,,Negative,,,
1157.0,i had a confusion to eat it or gulp it ,,Negative,,,
1157.0,however i gave     for the browny,,Neutral,,,
